Security|Industry|Sub-Industry|State
Howmet Aerospace|Industrials|Aerospace & Defense|Pittsburgh, Pennsylvania
HP  |Information Technology|Technology Hardware, Storage & Peripherals|Palo Alto, California
Hubbell Incorporated|Industrials|Industrial Machinery & Supplies & Components|Shelton, Connecticut
Humana|Health Care|Managed Health Care|Louisville, Kentucky
Huntington Bancshares|Financials|Regional Banks|Columbus, Ohio; Detroit, Michigan
Huntington Ingalls Industries|Industrials|Aerospace & Defense|Newport News, Virginia
IBM|Information Technology|IT Consulting & Other Services|Armonk, New York
IDEX Corporation|Industrials|Industrial Machinery & Supplies & Components|Lake Forest, Illinois
Idexx Laboratories|Health Care|Health Care Equipment|Westbrook, Maine
Illinois Tool Works|Industrials|Industrial Machinery & Supplies & Components|Glenview, Illinois
Incyte|Health Care|Biotechnology|Wilmington, Delaware
Ingersoll Rand|Industrials|Industrial Machinery & Supplies & Components|Davidson, North Carolina
Insulet Corporation|Health Care|Health Care Equipment|Acton, Massachusetts
Intel|Information Technology|Semiconductors|Santa Clara, California
Intercontinental Exchange|Financials|Financial Exchanges & Data|Atlanta, Georgia
International Flavors & Fragrances|Materials|Specialty Chemicals|New York City, New York
International Paper|Materials|Paper & Plastic Packaging Products & Materials|Memphis, Tennessee
Interpublic Group of Companies|Communication Services|Advertising|New York City, New York
Intuit|Information Technology|Application Software|Mountain View, California
Intuitive Surgical|Health Care|Health Care Equipment|Sunnyvale, California
Invesco|Financials|Asset Management & Custody Banks|Atlanta, Georgia
Invitation Homes|Real Estate|Single-Family Residential REITs|Dallas, Texas
IQVIA|Health Care|Life Sciences Tools & Services|Durham, North Carolina
Iron Mountain|Real Estate|Other Specialized REITs|Boston, Massachusetts
J.B. Hunt|Industrials|Cargo Ground Transportation|Lowell, Arkansas
Jabil|Information Technology|Electronic Manufacturing Services|St. Petersburg, Florida
Jack Henry & Associates|Financials|Transaction & Payment Processing Services|Monett, Missouri
Jacobs Solutions|Industrials|Construction & Engineering|Dallas, Texas
Johnson & Johnson|Health Care|Pharmaceuticals|New Brunswick, New Jersey
Johnson Controls|Industrials|Building Products|Cork, Ireland
JPMorgan Chase|Financials|Diversified Banks|New York City, New York
Juniper Networks|Information Technology|Communications Equipment|Sunnyvale, California
Kellanova|Consumer Staples|Packaged Foods & Meats|Chicago, Illinois
Kenvue|Consumer Staples|Personal Care Products|Skillman, New Jersey
Keurig Dr Pepper|Consumer Staples|Soft Drinks & Non-alcoholic Beverages|Burlington, Massachusetts
KeyCorp|Financials|Regional Banks|Cleveland, Ohio
Keysight Technologies|Information Technology|Electronic Equipment & Instruments|Santa Rosa, California
Kimberly-Clark|Consumer Staples|Household Products|Irving, Texas
Kimco Realty|Real Estate|Retail REITs|Jericho, New York
Kinder Morgan|Energy|Oil & Gas Storage & Transportation|Houston, Texas
KKR|Financials|Asset Management & Custody Banks|New York City, New York
KLA Corporation|Information Technology|Semiconductor Materials & Equipment|Milpitas, California
Kraft Heinz|Consumer Staples|Packaged Foods & Meats|Chicago, Illinois; Pittsburgh, Pennsylvania
Kroger|Consumer Staples|Food Retail|Cincinnati, Ohio
L3Harris|Industrials|Aerospace & Defense|Melbourne, Florida
LabCorp|Health Care|Health Care Services|Burlington, North Carolina
Lam Research|Information Technology|Semiconductor Materials & Equipment|Fremont, California
Lamb Weston|Consumer Staples|Packaged Foods & Meats|Eagle, Idaho
Las Vegas Sands|Consumer Discretionary|Casinos & Gaming|Las Vegas, Nevada
Leidos|Industrials|Diversified Support Services|Reston, Virginia
Lennar|Consumer Discretionary|Homebuilding|Miami, Florida
Lilly |Health Care|Pharmaceuticals|Indianapolis, Indiana
Linde plc|Materials|Industrial Gases|Guildford, United Kingdom
Live Nation Entertainment|Communication Services|Movies & Entertainment|Beverly Hills, California
LKQ Corporation|Consumer Discretionary|Distributors|Chicago, Illinois
Lockheed Martin|Industrials|Aerospace & Defense|Bethesda, Maryland
Loews Corporation|Financials|Multi-line Insurance|New York City, New York
Lowe's|Consumer Discretionary|Home Improvement Retail|Mooresville, North Carolina
Lululemon Athletica|Consumer Discretionary|Apparel, Accessories & Luxury Goods|Vancouver, Canada
LyondellBasell|Materials|Specialty Chemicals|Rotterdam, Netherlands
M&T Bank|Financials|Regional Banks|Buffalo, New York
Marathon Petroleum|Energy|Oil & Gas Refining & Marketing|Findlay, Ohio
MarketAxess|Financials|Financial Exchanges & Data|New York City, New York
Marriott International|Consumer Discretionary|Hotels, Resorts & Cruise Lines|Bethesda, Maryland
Marsh McLennan|Financials|Insurance Brokers|New York City, New York
Martin Marietta Materials|Materials|Construction Materials|Raleigh, North Carolina
Masco|Industrials|Building Products|Livonia, Michigan
Mastercard|Financials|Transaction & Payment Processing Services|Harrison, New York
Match Group|Communication Services|Interactive Media & Services|Dallas, Texas
McCormick & Company|Consumer Staples|Packaged Foods & Meats|Hunt Valley, Maryland
McDonald's|Consumer Discretionary|Restaurants|Chicago, Illinois
McKesson Corporation|Health Care|Health Care Distributors|Irving, Texas
Medtronic|Health Care|Health Care Equipment|Dublin, Ireland
Merck & Co.|Health Care|Pharmaceuticals|Kenilworth, New Jersey
Meta Platforms|Communication Services|Interactive Media & Services|Menlo Park, California
MetLife|Financials|Life & Health Insurance|New York City, New York
Mettler Toledo|Health Care|Life Sciences Tools & Services|Columbus, Ohio
MGM Resorts|Consumer Discretionary|Casinos & Gaming|Paradise, Nevada
Microchip Technology|Information Technology|Semiconductors|Chandler, Arizona
Micron Technology|Information Technology|Semiconductors|Boise, Idaho
Microsoft|Information Technology|Systems Software|Redmond, Washington
Mid-America Apartment Communities|Real Estate|Multi-Family Residential REITs|Memphis, Tennessee
Moderna|Health Care|Biotechnology|Cambridge, Massachusetts
Mohawk Industries|Consumer Discretionary|Home Furnishings|Calhoun, Georgia
Molina Healthcare|Health Care|Managed Health Care|Long Beach, California
Molson Coors Beverage Company|Consumer Staples|Brewers|Chicago, Illinois
Mondelez International|Consumer Staples|Packaged Foods & Meats|Chicago, Illinois
Monolithic Power Systems|Information Technology|Semiconductors|Kirkland, Washington
Monster Beverage|Consumer Staples|Soft Drinks & Non-alcoholic Beverages|Corona, California
Moody's Corporation|Financials|Financial Exchanges & Data|New York City, New York
Morgan Stanley|Financials|Investment Banking & Brokerage|New York City, New York
Mosaic Company |Materials|Fertilizers & Agricultural Chemicals|Tampa, Florida
Motorola Solutions|Information Technology|Communications Equipment|Chicago, Illinois
MSCI|Financials|Financial Exchanges & Data|New York City, New York
Nasdaq,  |Financials|Financial Exchanges & Data|New York City, New York
NetApp|Information Technology|Technology Hardware, Storage & Peripherals|San Jose, California
Netflix|Communication Services|Movies & Entertainment|Los Gatos, California
Newmont|Materials|Gold|Denver, Colorado
News Corp |Communication Services|Publishing|New York City, New York
NextEra Energy|Utilities|Multi-Utilities|Juno Beach, Florida
Nike,  |Consumer Discretionary|Apparel, Accessories & Luxury Goods|Washington County, Oregon
NiSource|Utilities|Multi-Utilities|Merrillville, Indiana
Nordson Corporation|Industrials|Industrial Machinery & Supplies & Components|Westlake, Ohio
Norfolk Southern Railway|Industrials|Rail Transportation|Atlanta, Georgia
Northern Trust|Financials|Asset Management & Custody Banks|Chicago, Illinois
Northrop Grumman|Industrials|Aerospace & Defense|West Falls Church, Virginia
Norwegian Cruise Line Holdings|Consumer Discretionary|Hotels, Resorts & Cruise Lines|Miami, Florida
NRG Energy|Utilities|Independent Power Producers & Energy Traders|Houston, Texas
Nucor|Materials|Steel|Charlotte, North Carolina
Nvidia|Information Technology|Semiconductors|Santa Clara, California
NVR,  |Consumer Discretionary|Homebuilding|Reston, Virginia
NXP Semiconductors|Information Technology|Semiconductors|Eindhoven, Netherlands
O'Reilly Auto Parts|Consumer Discretionary|Automotive Retail|Springfield, Missouri
Occidental Petroleum|Energy|Oil & Gas Exploration & Production|Houston, Texas
Old Dominion|Industrials|Cargo Ground Transportation|Thomasville, North Carolina
Omnicom Group|Communication Services|Advertising|New York City, New York
ON Semiconductor|Information Technology|Semiconductors|Phoenix, Arizona
ONEOK|Energy|Oil & Gas Storage & Transportation|Tulsa, Oklahoma
Oracle Corporation|Information Technology|Application Software|Austin, Texas
Otis Worldwide|Industrials|Industrial Machinery & Supplies & Components|Farmington, Connecticut
Paccar|Industrials|Construction Machinery & Heavy Transportation Equipment|Bellevue, Washington
Packaging Corporation of America|Materials|Paper & Plastic Packaging Products & Materials|Lake Forest, Illinois
Palantir Technologies|Information Technology|Internet Services & Infrastructure|Denver, Colorado
Palo Alto Networks|Information Technology|Systems Software|Santa Clara, California
Paramount Global|Communication Services|Movies & Entertainment|New York City, New York
Parker Hannifin|Industrials|Industrial Machinery & Supplies & Components|Cleveland, Ohio
Paychex|Industrials|Human Resource & Employment Services|Penfield, New York
Paycom|Industrials|Human Resource & Employment Services|Oklahoma City, Oklahoma
PayPal|Financials|Transaction & Payment Processing Services|San Jose, California
Pentair|Industrials|Industrial Machinery & Supplies & Components|Worsley, United Kingdom
PepsiCo|Consumer Staples|Soft Drinks & Non-alcoholic Beverages|Purchase, New York
Pfizer|Health Care|Pharmaceuticals|New York City, New York
PG&E Corporation|Utilities|Multi-Utilities|Oakland, California
Philip Morris International|Consumer Staples|Tobacco|New York City, New York
Phillips 66|Energy|Oil & Gas Refining & Marketing|Houston, Texas
Pinnacle West|Utilities|Multi-Utilities|Phoenix, Arizona
PNC Financial Services|Financials|Diversified Banks|Pittsburgh, Pennsylvania
Pool Corporation|Consumer Discretionary|Distributors|Covington, Louisiana
PPG Industries|Materials|Specialty Chemicals|Pittsburgh, Pennsylvania
PPL Corporation|Utilities|Electric Utilities|Allentown, Pennsylvania
Principal Financial Group|Financials|Life & Health Insurance|Des Moines, Iowa
Procter & Gamble|Consumer Staples|Personal Care Products|Cincinnati, Ohio
Progressive Corporation|Financials|Property & Casualty Insurance|Mayfield Village, Ohio
Prologis|Real Estate|Industrial REITs|San Francisco, California
Prudential Financial|Financials|Life & Health Insurance|Newark, New Jersey
Public Service Enterprise Group|Utilities|Electric Utilities|Newark, New Jersey
PTC  |Information Technology|Application Software|Boston, Massachusetts
Public Storage|Real Estate|Self-Storage REITs|Glendale, California
PulteGroup|Consumer Discretionary|Homebuilding|Atlanta, Georgia
Qorvo|Information Technology|Semiconductors|Greensboro, North Carolina
Quanta Services|Industrials|Construction & Engineering|Houston, Texas
Qualcomm|Information Technology|Semiconductors|San Diego, California
Quest Diagnostics|Health Care|Health Care Services|Secaucus, New Jersey
Ralph Lauren Corporation|Consumer Discretionary|Apparel, Accessories & Luxury Goods|New York City, New York
Raymond James Financial|Financials|Investment Banking & Brokerage|St. Petersburg, Florida
RTX Corporation|Industrials|Aerospace & Defense|Waltham, Massachusetts
Realty Income|Real Estate|Retail REITs|San Diego, California
Regency Centers|Real Estate|Retail REITs|Jacksonville, Florida
Regeneron Pharmaceuticals|Health Care|Biotechnology|Tarrytown, New York
Regions Financial Corporation|Financials|Regional Banks|Birmingham, Alabama
Republic Services|Industrials|Environmental & Facilities Services|Phoenix, Arizona
ResMed|Health Care|Health Care Equipment|San Diego, California
Revvity|Health Care|Health Care Equipment|Waltham, Massachusetts
Rockwell Automation|Industrials|Electrical Components & Equipment|Milwaukee, Wisconsin
Rollins,  |Industrials|Environmental & Facilities Services|Atlanta, Georgia
Roper Technologies|Information Technology|Electronic Equipment & Instruments|Sarasota, Florida
Ross Stores|Consumer Discretionary|Apparel Retail|Dublin, California
Royal Caribbean Group|Consumer Discretionary|Hotels, Resorts & Cruise Lines|Miami, Florida
S&P Global|Financials|Financial Exchanges & Data|New York City, New York
Salesforce|Information Technology|Application Software|San Francisco, California
SBA Communications|Real Estate|Telecom Tower REITs|Boca Raton, Florida
Schlumberger|Energy|Oil & Gas Equipment & Services|Houston, Texas
Seagate Technology|Information Technology|Technology Hardware, Storage & Peripherals|Dublin, Ireland
Sempra|Utilities|Multi-Utilities|San Diego, California
ServiceNow|Information Technology|Systems Software|Santa Clara, California
Sherwin-Williams|Materials|Specialty Chemicals|Cleveland, Ohio
Simon Property Group|Real Estate|Retail REITs|Indianapolis, Indiana
Skyworks Solutions|Information Technology|Semiconductors|Irvine, California
J.M. Smucker Company |Consumer Staples|Packaged Foods & Meats|Orrville, Ohio
Smurfit WestRock|Materials|Paper & Plastic Packaging Products & Materials|Dublin, Ireland
Snap-on|Industrials|Industrial Machinery & Supplies & Components|Kenosha, Wisconsin
Solventum|Health Care|Health Care Technology|Saint Paul, Minnesota
Southern Company|Utilities|Electric Utilities|Atlanta, Georgia
Southwest Airlines|Industrials|Passenger Airlines|Dallas, Texas
Stanley Black & Decker|Industrials|Industrial Machinery & Supplies & Components|New Britain, Connecticut
Starbucks|Consumer Discretionary|Restaurants|Seattle, Washington
State Street Corporation|Financials|Asset Management & Custody Banks|Boston, Massachusetts
Steel Dynamics|Materials|Steel|Fort Wayne, Indiana
Steris|Health Care|Health Care Equipment|Dublin, Ireland
Stryker Corporation|Health Care|Health Care Equipment|Kalamazoo, Michigan
Supermicro|Information Technology|Technology Hardware, Storage & Peripherals|San Jose, California
Synchrony Financial|Financials|Consumer Finance|Stamford, Connecticut
Synopsys|Information Technology|Application Software|Sunnyvale, California
Sysco|Consumer Staples|Food Distributors|Houston, Texas
T-Mobile US|Communication Services|Wireless Telecommunication Services|Bellevue, Washington
T. Rowe Price|Financials|Asset Management & Custody Banks|Baltimore, Maryland
Take-Two Interactive|Communication Services|Interactive Home Entertainment|New York City, New York
Tapestry,  |Consumer Discretionary|Apparel, Accessories & Luxury Goods|New York City, New York
Targa Resources|Energy|Oil & Gas Storage & Transportation|Houston, Texas
Target Corporation|Consumer Staples|Consumer Staples Merchandise Retail|Minneapolis, Minnesota
TE Connectivity|Information Technology|Electronic Manufacturing Services|Galway, Ireland
Teledyne Technologies|Information Technology|Electronic Equipment & Instruments|Thousand Oaks, California
Teleflex|Health Care|Health Care Equipment|Wayne, Pennsylvania
Teradyne|Information Technology|Semiconductor Materials & Equipment|North Reading, Massachusetts
Tesla,  |Consumer Discretionary|Automobile Manufacturers|Austin, Texas
Texas Instruments|Information Technology|Semiconductors|Dallas, Texas
Texas Pacific Land Corporation|Energy|Oil & Gas Exploration & Production|Dallas, Texas
Textron|Industrials|Aerospace & Defense|Providence, Rhode Island
Thermo Fisher Scientific|Health Care|Life Sciences Tools & Services|Waltham, Massachusetts
TJX Companies|Consumer Discretionary|Apparel Retail|Framingham, Massachusetts
Tractor Supply|Consumer Discretionary|Other Specialty Retail|Brentwood, Tennessee
Trane Technologies|Industrials|Building Products|Dublin, Ireland
TransDigm Group|Industrials|Aerospace & Defense|Cleveland, Ohio
Travelers Companies |Financials|Property & Casualty Insurance|New York City, New York
Trimble  |Information Technology|Electronic Equipment & Instruments|Westminster, Colorado
Truist Financial|Financials|Diversified Banks|Charlotte, North Carolina
Tyler Technologies|Information Technology|Application Software|Plano, Texas
Tyson Foods|Consumer Staples|Packaged Foods & Meats|Springdale, Arkansas
U.S. Bancorp|Financials|Diversified Banks|Minneapolis, Minnesota
Uber|Industrials|Passenger Ground Transportation|San Francisco, California
UDR,  |Real Estate|Multi-Family Residential REITs|Highlands Ranch, Colorado
Ulta Beauty|Consumer Discretionary|Other Specialty Retail|Bolingbrook, Illinois
Union Pacific Corporation|Industrials|Rail Transportation|Omaha, Nebraska
United Airlines Holdings|Industrials|Passenger Airlines|Chicago, Illinois
United Parcel Service|Industrials|Air Freight & Logistics|Sandy Springs, Georgia
United Rentals|Industrials|Trading Companies & Distributors|Stamford, Connecticut
UnitedHealth Group|Health Care|Managed Health Care|Minnetonka, Minnesota
Universal Health Services|Health Care|Health Care Facilities|King of Prussia, Pennsylvania
Valero Energy|Energy|Oil & Gas Refining & Marketing|San Antonio, Texas
Ventas|Real Estate|Health Care REITs|Chicago, Illinois
Veralto|Industrials|Environmental & Facilities Services|Waltham, Massachusetts
Verisign|Information Technology|Internet Services & Infrastructure|Dulles, Virginia
Verisk Analytics|Industrials|Research & Consulting Services|Jersey City, New Jersey
Verizon|Communication Services|Integrated Telecommunication Services|New York City, New York
Vertex Pharmaceuticals|Health Care|Biotechnology|Boston, Massachusetts
Viatris|Health Care|Pharmaceuticals|Pittsburgh, Pennsylvania
Vici Properties|Real Estate|Hotel & Resort REITs|New York City, New York
Visa  |Financials|Transaction & Payment Processing Services|San Francisco, California
Vistra Corp.|Utilities|Electric Utilities|Irving, Texas
Vulcan Materials Company|Materials|Construction Materials|Birmingham, Alabama
W. R. Berkley Corporation|Financials|Property & Casualty Insurance|Greenwich, Connecticut
W. W. Grainger|Industrials|Industrial Machinery & Supplies & Components|Lake Forest, Illinois
Wabtec|Industrials|Construction Machinery & Heavy Transportation Equipment|Pittsburgh, Pennsylvania
Walgreens Boots Alliance|Consumer Staples|Drug Retail|Deerfield, Illinois
Walmart|Consumer Staples|Consumer Staples Merchandise Retail|Bentonville, Arkansas
Walt Disney Company |Communication Services|Movies & Entertainment|Burbank, California
Warner Bros. Discovery|Communication Services|Broadcasting|New York City, New York
Waste Management|Industrials|Environmental & Facilities Services|Houston, Texas
Waters Corporation|Health Care|Life Sciences Tools & Services|Milford, Massachusetts
WEC Energy Group|Utilities|Electric Utilities|Milwaukee, Wisconsin
Wells Fargo|Financials|Diversified Banks|San Francisco, California
Welltower|Real Estate|Health Care REITs|Toledo, Ohio
West Pharmaceutical Services|Health Care|Health Care Supplies|Exton, Pennsylvania
Western Digital|Information Technology|Technology Hardware, Storage & Peripherals|San Jose, California
Weyerhaeuser|Real Estate|Timber REITs|Seattle, Washington
Williams Companies|Energy|Oil & Gas Storage & Transportation|Tulsa, Oklahoma
Willis Towers Watson|Financials|Insurance Brokers|London, United Kingdom
Wynn Resorts|Consumer Discretionary|Casinos & Gaming|Paradise, Nevada
Xcel Energy|Utilities|Multi-Utilities|Minneapolis, Minnesota
Xylem  |Industrials|Industrial Machinery & Supplies & Components|White Plains, New York
Yum! Brands|Consumer Discretionary|Restaurants|Louisville, Kentucky
Zebra Technologies|Information Technology|Electronic Equipment & Instruments|Lincolnshire, Illinois
Zimmer Biomet|Health Care|Health Care Equipment|Warsaw, Indiana
Zoetis|Health Care|Pharmaceuticals|Parsippany, New Jersey
